Para analizar los resultados podés bajar el .csv (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recordá calificar a la empresa donde estás trabajando en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Usá el código ENCUESTA en la tienda de sysarmy y llevate un 10% de descuento!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,Esta obra está bajo una Licencia Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dónde estás trabajando;Tipo de contrato;Salario mensual o retiro BRUTO (en tu moneda local);Salario mensual o retiro NETO (en tu moneda local);Pagos en dólares;¿Cuál fue el último valor de dólar que tomaron?;¿Qué tan conforme estás con tu sueldo?;Cómo creés que está tu sueldo con respecto al último semestre;Recibís algún tipo de bono;A qué está atado el bono;¿Tuviste ajustes por inflación durante 2021?;¿De qué % fue el ajuste total?;¿En qué mes fue el último ajuste?;Trabajo de;Años de experiencia;Años en la empresa actual;Años en el puesto actual;¿Gente a cargo?;Plataformas;Lenguajes de programación o tecnologías.;Frameworks, herramientas y librerías;Bases de datos;QA / Testing;IDEs;Cantidad de personas en tu organización;Trabajo para una empresa que no tiene oficina en mi ciudad;Actividad principal;¿La recomendás como un buen lugar para trabajar?;¿Cómo calificás las políticas de diversidad e inclusión?;Beneficios extra;Nivel de estudios alcanzado;Estado;Carrera;Universidad;Realizaste cursos de especialización;¿Contribuís a proyectos open source?;¿Programás como hobbie?;¿Tenés guardias?;Cuánto cobrás por guardia;¿Porcentaje, bruto o neto?;¿Sufriste o presenciaste situaciones de violencia laboral?;¿Tenés algún tipo de discapacidad?;¿Sentís que esto te dificultó el conseguir trabajo?;¿Cómo venís llevando la pandemia?;¿Tenés hijos/as menores de edad?;¿Con cuántas personas estás conviviendo?;¿Con quiénes convivís?;¿Tenés un espacio dedicado para el trabajo?;¿Tenés que compartir tu equipo de trabajo con alguien?;¿Qué tipo de cuarentena hiciste / estás haciendo?;¿Cambió tu situación laboral a raíz de la pandemia?;¿Qué tanto sentís que te está apoyando tu empresa/organización en esta situación?;¿Cómo se vio afectada tu empresa/organización?;¿Instauraron algún beneficio nuevo?;Tengo;Me identifico
Ciudad Autónoma de Buenos Aires;Part-Time;50648;47648;;;1;1;No;No recibo bono;Uno;20;4;Developer/DevOps;5;3.5;3.5;0;Docker| Google Cloud Platform/App Engine| Linux;CSS| HTML| Javascript| PHP| SQL;Bootstrap| jQuery| React.js| Symfony;MariaDB| MySQL;PHPUnit;PHPStorm| Sublime Text| Vim;Nov-50;;Servicios / Consultoría de Software / Digital;8;1;Capacitaciones y/o cursos| Horarios flexibles| Vacaciones flexibles (adicionales a las reglamentarias);Universitario;En curso;Ingeniería en Sistemas de Información;UTN - Universidad Tecnológica Nacional;No;No;Sí;Sí| pasiva;0;Porcentaje de mi sueldo;Jamás;Visual;No;3;0;0;Vivo solo/a;Sí;No;3;Conseguí un tercer trabajo;7;No dieron los aumentos que deben;Ninguna de las anteriores;23;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;115000;93000;;;2;2;No;No recibo bono;Uno;15;6;Consultant;3;3;3;2;Linux| VMWare;CSS| HTML| Java| Javascript| SQL;jQuery;Oracle| Sybase;Ninguna de las anteriores;Atom| Notepad++;Nov-50;;Servicios / Consultoría de Software / Digital;2;5;Abono de celular| Abono de Internet| Capacitaciones y/o cursos| Horarios flexibles| Vacaciones flexibles (adicionales a las reglamentarias);;;;;;;;;;;;;;;;;;;;;;;;;35;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;130000;120000;;;2;2;No;No recibo bono;Uno;15;4;SysAdmin / DevOps / SRE;2;0;2;0;Amazon Web Services| Linux| Serverless;Bash/Shell| Python| SQL;Ninguno de los anteriores;Amazon RDS/Aurora;Ninguna de las anteriores;Visual Studio Code;101-200;;Producto basado en Software;6;9;Clases de idiomas| Horarios flexibles| Vacaciones flexibles (adicionales a las reglamentarias);;;;;;;;;;;;;;;;;;;;;;;;;31;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;312462;220768;;;4;4;De uno a tres sueldos;Mix de las anteriores;Dos;50.7;7;UX;23;3;0;3;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores;Ninguno de los anteriores;10001+;;Producto basado en Software;10;8;Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Comidas pagas / subvencionadas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles| Lactario en la oficina| Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias);Universitario;Incompleto;Diseño de Imágen y Sonido;UBA - Universidad de Buenos Aires;Sí| de forma particular| Sí| los pagó un empleador;No;No;No;0;Porcentaje de mi sueldo;En un trabajo anterior;;;4;2;3;Pareja| Hijos/as (tiempo completo);No;No;3;No;10;Se vio beneficiada;Clases de gimnasia| Clases de meditación| Clases de yoga| Compra de accesorios (escritorio| monitor| teclado| mouse| etc);38;Mujer Cis
Ciudad Autónoma de Buenos Aires;Full-Time;144147;112000;;;2;2;De uno a tres sueldos;Performance de la compañía;Dos;23;4;Developer;12;3;2;0;Ninguna de las anteriores;.NET| C#| CSS| HTML| Javascript| SQL| TypeScript| VBA;.NET Core| Angular| Bootstrap| jQuery;Microsoft SQL Server;Postman| SoapUI;Notepad++| Visual Studio Code;501-1000;;Otras industrias;6;10;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles| Vacaciones flexibles (adicionales a las reglamentarias);;;;;;;;;;;;;;;;;;;;;;;;;33;Mujer Cis
Ciudad Autónoma de Buenos Aires;Full-Time;238000;150000;;;2;2;De uno a tres sueldos;Mix de las anteriores;Dos;25;4;Technical Leader;25;20;4;11;Linux| OpenShift| VMWare| Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Microsoft SQL Server| MySQL;Ninguna de las anteriores;Ninguno de los anteriores;10001+;;Otras industrias;8;8;Abono de celular| Descuento en gimnasios / Clases de gimnasia online| Horarios flexibles;Posgrado;Completado;Ingeniería en Informática;UNLaM - Universidad Nacional de La Matanza;Sí| los pagó un empleador;No;No;No;0;Porcentaje de mi sueldo;Jamás;;;3;1;2;Hijos/as mayores de 18| Hijos/as (tiempo dividido);No;No;3;No;8;Cerró oficinas;Pago de abono de Internet;45;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;111020;92146;;;3;3;Menos de un sueldo;Consultoría para proyecto;Uno;4.5;3;Project Manager;0;4;0;0;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores;Ninguno de los anteriores;Nov-50;;Servicios / Consultoría de Software / Digital;7;2;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Horarios flexibles| Vacaciones flexibles (adicionales a las reglamentarias);Universitario;En curso;Diseño Multimedial;UNA;Sí| de forma particular;No;No;No;0;Porcentaje de mi sueldo;En mi trabajo actual;;;3;0;0;Vivo solo/a;Sí;No;2;No;7;No la afectó;Ninguna de las anteriores;26;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;345000;345000;Cobro en dólares;156;4;4;No;No recibo bono;No;0;0;Developer;0;1;1;0;-;Javascript;jQuery| Node.js| Vue.js;MySQL;Ninguna de las anteriores;Visual Studio Code;51-100;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;8;8;Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias);Universitario;En curso;Tecnicatura en Desarrollo de Videojuegos;Escuela Da Vinci;Sí| de forma particular;Sí;Sí;No;0;Porcentaje de mi sueldo;Jamás;;No;3;0;0;Vivo solo/a;Sí;No;2;Cambié de trabajo| pero no por la pandemia;7;Cerró oficinas| Nos obligaron a tomarnos vacaciones;Ninguna de las anteriores;20;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;315000;;;;4;4;Un sueldo;Mix de las anteriores;Uno;25;4;Project Manager;15;0;0;0;Azure;.NET| Javascript;Angular;MongoDB;Ninguna de las anteriores;Ninguno de los anteriores;1001-2000;;Otras industrias;9;10;Abono de Internet| Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles;;;;;;;;;;;;;;;;;;;;;;;;;43;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;130000;110000;;;3;3;Menos de un sueldo;Performance individual;Uno;40;7;Developer;2;1.5;1.5;0;Amazon Web Services| Docker| Kubernetes;HTML| Java| Javascript;React.js| Vue.js;MongoDB| MySQL;Postman;Android Studio| Visual Studio Code;Nov-50;;Producto basado en Software;8;0;Capacitaciones y/o cursos| Comidas pagas / subvencionadas| Horarios flexibles;;;;;;;;;;;;;;;;;;;;;;;;;23;hombre
Ciudad Autónoma de Buenos Aires;Full-Time;112000;90000;;;1;1;No;No recibo bono;No;0;0;SysAdmin / DevOps / SRE;18;10;5;0;AIX| Linux;Bash/Shell;Ninguno de los anteriores;IBM Db2| Oracle;Ninguna de las anteriores;Ninguno de los anteriores;10001+;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;6;5;Abono de celular;Universitario;Incompleto;Ingeniería en Informática;UP - Universidad de Palermo;Sí| de forma particular;No;No;Sí| pasiva;0;Porcentaje de mi sueldo;Jamás;;No;4;0;0;Vivo solo/a;No;No;2;No;1;No la afectó;Ninguna de las anteriores;43;Varón Cis
Ciudad Autónoma de Buenos Aires;Freelance;95000;95000;;;3;3;No;No recibo bono;Uno;20;4;Developer;3;0;0;0;Amazon Web Services| Docker| Kubernetes| Linux;Java| Javascript| Python| SQL;Spring;Amazon DynamoDB| PostgreSQL;JUnit| Postman;Visual Studio Code;10-Jan;;Producto basado en Software;7;10;Ninguna de las anteriores;;;;;;;;;;;;;;;;;;;;;;;;;25;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;210000;;Cobro parte de mi sueldo en otro país;99.79;2;1;No;No recibo bono;Uno;21;4;Architect;12;2;2;3;Amazon Web Services| Azure| Docker| Serverless;C++| C#| HTML| Javascript| PHP| Python| SQL;Angular| Bootstrap| Node.js| React.js;Amazon Redshift| Amazon RDS/Aurora| ElasticSearch| Microsoft SQL Server| MySQL| PostgreSQL;Cucumber| Cypress| Jest| Mocha;Visual Studio Code;10001+;;Producto basado en Software;6;9;Abono de Internet| Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Comidas pagas / subvencionadas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles| Licencia de paternidad / maternidad extendida| Stock options / RSUs;;;;;;;;;;;;;;;;;;;;;;;;;37;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;825000;645000;Mi sueldo está dolarizado (pero cobro en moneda local);165.67;4;4;No;No recibo bono;No;11.4;3;Manager / Director;14;0;0;12;Amazon Web Services| Docker| Linux| Serverless;Javascript| TypeScript;Angular| Node.js;Amazon DynamoDB| MongoDB| PostgreSQL| Redis;Cypress| Postman;Visual Studio Code;51-100;;Producto basado en Software;8;7;Stock options / RSUs;;;;;;;;;;;;;;;;;;;;;;;;;34;Varón Cis
Ciudad Autónoma de Buenos Aires;Part-Time;72000;61000;;;2;2;Un sueldo;Bono de mitad de año y fin de año;Uno;10;1;Networking;13;10;10;0;Linux| VMWare| Windows Server;Ninguno de los anteriores;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores;Ninguno de los anteriores;2001-5000;;Servicios / Consultoría de Software / Digital;8;10;Capacitaciones y/o cursos| Horarios flexibles| Licencia de paternidad / maternidad extendida;;;;;;;;;;;;;;;;;;;;;;;;;38;Varón
Ciudad Autónoma de Buenos Aires;Full-Time;83196;69054;;;3;2;No;No recibo bono;Dos;14;4;Developer;2;0;0;0;Ninguna de las anteriores;CSS| HTML| Javascript| PHP;Bootstrap| jQuery| React.js;Ninguna de las anteriores;Ninguna de las anteriores;Visual Studio Code;Nov-50;;Servicios / Consultoría de Software / Digital;8;3;Capacitaciones y/o cursos| Horarios flexibles;;;;;;;;;;;;;;;;;;;;;;;;;30;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;100000;85000;;;2;1;Menos de un sueldo;Mix de las anteriores;Uno;13;4;Developer;7;2;7;0;Windows Server;.NET| C#| CSS| HTML| Javascript| SQL;.NET Core| Bootstrap| jQuery;Microsoft SQL Server| Sybase;NUnit;Android Studio| Eclipse| IntelliJ| NetBeans| Notepad++| Sublime Text| Visual Studio| Visual Studio Code;Nov-50;;Servicios / Consultoría de Software / Digital;5;3;Capacitaciones y/o cursos| Horarios flexibles| Vacaciones flexibles (adicionales a las reglamentarias);Universitario;Completado;Licenciatura en Gestión de Tecnología;UNLaM - Universidad Nacional de La Matanza;No;No;No;No;0;Porcentaje de mi sueldo;;;;;;;;;;;;;;;29;Mujer Cis
Ciudad Autónoma de Buenos Aires;Full-Time;212200;138375;;;3;3;De uno a tres sueldos;Mix de las anteriores;Dos;20;7;Developer;4;1;4;0;Ninguna de las anteriores;Go| Java| Kotlin| Python| SQL;Hibernate| Spring;Microsoft SQL Server| MySQL;JUnit| Postman;IntelliJ| Sublime Text;10001+;;Producto basado en Software;10;10;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Comidas pagas / subvencionadas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles| Lactario en la oficina| Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias);Universitario;En curso;Licenciatura en Informática;UP - Universidad de Palermo;No;No;Sí;Sí| pasiva;0;Neto;Jamás;;;3;0;1;Familia de origen (madre/padre/hermanos/as);No;No;1;No;8;Se vio beneficiada;Almuerzo o delivery de snacks/bebidas (saludables o para after office)| Compra de accesorios (escritorio| monitor| teclado| mouse| etc)| Días libres extras;23;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;260000;175555;;;3;3;De uno a tres sueldos;Performance de la compañía;Uno;32;4;Developer;10;2;1;0;Amazon Web Services| Docker| Linux;CSS| HTML| Java| Javascript| Scala;Bootstrap| Hadoop| React.js| Spring;Amazon RDS/Aurora| Apache Hive| Cassandra| MariaDB| MongoDB| Redis;JUnit;IntelliJ| Visual Studio Code;2001-5000;;Producto basado en Software;9;9;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Comidas pagas / subvencionadas| Horarios flexibles| Lactario en la oficina| Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias);;;;;;;;;;;;;;;;;;;;;;;;;32;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;121000;100000;;;2;3;No;No recibo bono;Uno;25;3;Developer;2;2;2;0;Amazon Web Services;CSS| HTML| Javascript| TypeScript;Angular| Bootstrap| Nativescript;Amazon DynamoDB| MySQL;Test| se come?;Visual Studio Code;501-1000;;Producto basado en Software;7;9;Vacaciones flexibles (adicionales a las reglamentarias)| Ninguna de las anteriores;Secundario;Completado;;;Sí| de forma particular;No;Sí;No;0;Bruto;Jamás;;;3;0;2;Familia de origen (madre/padre/hermanos/as)| Pareja;Sí;No;3;No;7;No la afectó| Se vio beneficiada;Ninguna de las anteriores;26;Varón Cis
Ciudad Autónoma de Buenos Aires;Part-Time;87490;72600;;;4;3;No;No recibo bono;No;0;0;Developer;1.5;0;0;0;Ninguna de las anteriores;CSS| HTML| Java| Javascript;Angular| Bootstrap| Hibernate| Node.js| React.js| Spring;MySQL;Postman;IntelliJ| Visual Studio Code;201-500;;Servicios / Consultoría de Software / Digital;8;0;Abono de Internet| Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc);Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires;Sí| de forma particular;No;No;No;0;Porcentaje de mi sueldo;;;;;;;;;;;;;;;35;Mujer Cis
Ciudad Autónoma de Buenos Aires;Full-Time;170800;136000;;;2;2;No;No recibo bono;Uno;15;2;Developer;15;14;12;0;Ninguna de las anteriores;.NET| C#| CSS| HTML| Java| Javascript| SQL;.NET Core| Bootstrap| jQuery;Microsoft SQL Server| Oracle;Ninguna de las anteriores;Android Studio| Notepad++| Visual Studio| Visual Studio Code;Nov-50;;Producto basado en Software;4;2;Ninguna de las anteriores;;;;;;;;;;;;;;;;;;;;;;;;;41;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;67000;57000;;;2;2;Menos de un sueldo;Votado por decisión colectiva.;Dos;25;6;Developer;0;0;0;0;Docker| Google Cloud Platform/App Engine| Kubernetes| Linux;CSS| HTML| Java| Javascript| TypeScript;Angular| Node.js;Ninguna de las anteriores;JUnit| Postman| SoapUI;Eclipse| IntelliJ| Visual Studio Code;10001+;;Servicios / Consultoría de Software / Digital;6;8;Abono de Internet| Capacitaciones y/o cursos| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc);;;;;;;;;;;;;;;;;;;;;;;;;23;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;117000;104000;;;3;3;No;No recibo bono;Uno;30;1;Developer;5;1.6;1.6;0;Ninguna de las anteriores;CSS| HTML;Ninguno de los anteriores;Ninguna de las anteriores;Ninguna de las anteriores;Visual Studio Code;101-200;;Producto basado en Software;8;7;Abono de Internet| Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Comidas pagas / subvencionadas| Lactario en la oficina;Terciario;Completado;Tecnicatura en Edicion UBA;UBA - Universidad de Buenos Aires;No| Sí| de forma particular;No;Sí;Sí| pasiva;5200;Neto;En un trabajo anterior;;No;3;0;1;Pareja;Sí;No;3;No;9;Paso todo a remoto hasta fin de año y empezo a contratar gente de otras ciudades;Almuerzo o delivery de snacks/bebidas (saludables o para after office)| Clases de gimnasia| Clases de meditación| Clases de yoga| Días libres extras| Pago de abono de Internet;33;Mujer Cis
Ciudad Autónoma de Buenos Aires;Full-Time;155000;125000;;;2;3;No;No recibo bono;Dos;40;6;Developer;5;3;3;0;Ninguna de las anteriores;.NET| C#| CSS| HTML| Javascript| SQL;.NET Core| Angular| Bootstrap| jQuery;Microsoft SQL Server;Ninguna de las anteriores;Visual Studio| Visual Studio Code;Nov-50;;Servicios / Consultoría de Software / Digital;8;9;Capacitaciones y/o cursos;Universitario;En curso;Ingeniería en Informática;UNAJ - Universidad Nacional Arturo Jauretche;No;No;Sí;No;0;Neto;Jamás;;;3;0;1;Pareja;Sí;No;2;No;9;Se vio beneficiada;Ninguna de las anteriores;26;Prefiero no decir
Ciudad Autónoma de Buenos Aires;Full-Time;560000;360000;Mi sueldo está dolarizado (pero cobro en moneda local);160;4;3;Menos de un sueldo;Performance de la compañía;Uno;70;1;Data Engineer;20;1;1;3;Amazon Web Services| Azure| Docker| Kubernetes| Linux;Bash/Shell| Javascript| Python| SQL| TypeScript;Node.js| React.js| Spark;Amazon Redshift| PostgreSQL;Jest;Sublime Text| Vim| Visual Studio Code;201-500;;Producto basado en Software;10;8;Abono de Internet| Capacitaciones y/o cursos| Clases de idiomas| Horarios flexibles| Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias);Universitario;Incompleto;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires;Sí| de forma particular;No;Sí;Sí| pasiva;0;Porcentaje de mi sueldo;En un trabajo anterior;;;2;1;2;Pareja| Hijos/as (tiempo completo);Sí;No;4;Decidí buscar otro trabajo;7;Se vio beneficiada;Compra de accesorios (escritorio| monitor| teclado| mouse| etc)| Pago de abono de Internet| Pago de abono de otros servicios;44;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;100000;85000;;;3;2;No;No recibo bono;No;0;0;Developer;6;0;5;0;Arduino o similar| Linux| Microcontroladores;C| C++| SQL;Ninguno de los anteriores;Microsoft SQL Server| MongoDB;Ninguna de las anteriores;Visual Studio Code;51-100;;Otras industrias;9;0;Horarios flexibles;Universitario;En curso;Ingeniería Electrónica;UTN - Universidad Tecnológica Nacional;No;No;Sí;No;0;Porcentaje de mi sueldo;;;;;;;;;;;;;;;26;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;170000;;;;3;3;No;No recibo bono;Uno;10;3;Technical Leader;22;22;5;9;Linux;Java| SQL;Hibernate| Spring;Informix| MariaDB| Microsoft SQL Server| MySQL;Ninguna de las anteriores;Eclipse| Vi| Vim| Visual Studio Code;5001-10000;;Otras industrias;5;5;Estacionamiento gratuito / subvencionado;;;;;;;;;;;;;;;;;;;;;;;;;44;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;80000;66000;;;3;3;No;No recibo bono;Tres;15;3;Developer;1;1;1;0;Firebase| Heroku;CSS| HTML| Javascript| TypeScript;Bootstrap| jQuery| Node.js| React.js| React Native;Ninguna de las anteriores;Jest| React Testing Library;Android Studio| Visual Studio Code;201-500;;Servicios / Consultoría de Software / Digital;8;9;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles| Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias);Terciario;En curso;Analista de Sistemas;ESBA - Escuela Superior Buenos Aires;Sí| de forma particular| Sí| los pagó un empleador;Sí;Sí;No;0;Porcentaje de mi sueldo;En un trabajo anterior;;;4;1;1;Hijos/as (tiempo completo);No;No;3;Me despidieron;10;Cerró oficinas;Almuerzo o delivery de snacks/bebidas (saludables o para after office)| Clases de gimnasia| Clases de yoga| Compra de accesorios (escritorio| monitor| teclado| mouse| etc);28;Mujer Cis
Ciudad Autónoma de Buenos Aires;Freelance;400000;400000;Cobro en dólares;160;4;4;No;No recibo bono;No;0;0;NLP Developer;6;1;1;0;Azure| Linux;Python;Flask| TensorFlow| rasa| bert| spacy;MySQL| Teradata;Postman;IPython / Jupyter| NetBeans| PyCharm| Visual Studio Code;Nov-50;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;8;6;Stock options / RSUs;Universitario;Completado;Letras;UBA - Universidad de Buenos Aires;Sí| de forma particular;Sí;Sí;;;;;;;;;;;;;;;;;;30;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;210700;124280;;;4;3;De uno a tres sueldos;Performance grupal;No;0;0;UX User Research;2;2;2;0;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;Teradata;Ninguna de las anteriores;Ninguno de los anteriores;10001+;;Producto basado en Software;8;8;Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Comidas pagas / subvencionadas;;;;;;;;;;;;;;;;;;;;;;;;;30;Mujer Cis
Ciudad Autónoma de Buenos Aires;Full-Time;156281.78;103962.64;;;4;4;Un sueldo;Performance individual;No;0;0;Product Owner;0;0;0;0;Azure| Windows Server;SQL;Ninguno de los anteriores;Microsoft SQL Server;Ninguna de las anteriores;Ninguno de los anteriores;10001+;;Producto basado en Software;9;0;Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Comidas pagas / subvencionadas| Vacaciones flexibles (adicionales a las reglamentarias);;;;;;;;;;;;;;;;;;;;;;;;;24;Mujer Cis
Ciudad Autónoma de Buenos Aires;Full-Time;206400;135000;;;2;3;De uno a tres sueldos;Mix de las anteriores;Uno;20;3;Architect;27;18;2;6;Ninguna de las anteriores;Java| Javascript| SQL;Angular| Node.js| Spring;Oracle;JUnit;IntelliJ;2001-5000;;Otras industrias;7;0;Abono de Internet| Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online;;;;;;;;;;;;;;;;;;;;;;;;;47;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;200000;170000;;;3;3;Menos de un sueldo;Performance individual;Tres;50;6;QA / Tester;2;8;1;0;Docker| Linux;Go| Groovy| Java| Kotlin| Ruby;Ninguno de los anteriores;Ninguna de las anteriores;Appium| Cucumber| JUnit| Postman| Selenium| SoapUI;IntelliJ| Sublime Text| Vim;10001+;;Otras industrias;7;6;Abono de celular| Abono de Internet| Capacitaciones y/o cursos| Horarios flexibles;Universitario;En curso;Ingeniería en Computación;Untref;Sí| de forma particular;No;Sí;No;0;Porcentaje de mi sueldo;En un trabajo anterior;;No;2;0;0;Vivo solo/a;Sí;No;3;No;6;No la afectó;Clases de gimnasia| Pago de abono de Internet;30;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;290000;200000;;;3;3;No;No recibo bono;Uno;17;5;Project Manager;15;8;4;2;Amazon Web Services| Linux;CSS| HTML| Javascript| PHP;CodeIgniter| jQuery| Laravel| Node.js;Amazon RDS/Aurora| MariaDB| MySQL;PHPUnit| Postman;PHPStorm| Sublime Text;501-1000;;Otras industrias;3;2;Nada de nada de nada de nada;;;;;;;;;;;;;;;;;;;;;;;;;36;Varón Cis
Ciudad Autónoma de Buenos Aires;Full-Time;240000;170000;;;2;2;No;No recibo bono;Uno;15;2;Developer;10;2;2;5;Ninguna de las anteriores;HTML| Javascript| TypeScript;Node.js| React.js;Ninguna de las anteriores;Jest;Visual Studio Code;101-200;;Otras industrias;6;7;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Cuota para universidad / posgrados| Horarios flexibles| Vacaciones flexibles (adicionales a las reglamentarias);;;;;;;;;;;;;;;;;;;;;;;;;32;Varón Cis
